patient_id,first_name,surname,national_id,date_of_birth,disease,severity,admission_status,ward,admission_date,discharge_date
PAT0027,Brianna,Baker,31010239980187,1931-01-02,COVID-19 (severe),high,Admitted,Cardiac Ward,2026-04-03,2026-04-05
PAT0068,John,Hill,03122411440185,2003-12-24,Seasonal Flu,low,Not Admitted,N/A,2026-04-23,
PAT0088,Charles,Mays,90112041500184,1990-11-20,Myocardial Infarction,high,Admitted,ICU,2026-06-27,2026-07-01
PAT0050,Mary,Mendoza,92082436660086,1992-08-24,Migraine,low,Not Admitted,N/A,2026-06-26,
PAT0053,Marvin,Owen,22120338310081,2022-12-03,Myocardial Infarction,high,Admitted,Cardiac Ward,2026-03-29,2026-04-01
PAT0003,Benjamin,Hamilton,37040119710088,1937-04-01,Stroke,high,Admitted,ICU,2026-01-21,2026-02-04
PAT0026,Gregory,Hall,52101262161185,1952-10-12,Acute Appendicitis,high,Admitted,Cardiac Ward,2026-04-18,2026-04-20
PAT0073,Anita,Harding,10060156871184,2010-06-01,Type 2 Diabetes (unstable),medium,Admitted,General Ward,2026-01-31,2026-02-01
PAT0034,Craig,Cox,33011379871083,1933-01-13,Migraine,low,Not Admitted,N/A,2026-07-13,
PAT0048,Stephanie,Diaz,51072336310189,1951-07-23,Type 2 Diabetes (unstable),medium,Admitted,Observation,2026-02-20,2026-02-25
PAT0031,Philip,Ross,40061343620183,1940-06-13,Type 2 Diabetes (unstable),medium,Not Admitted,N/A,2026-05-21,
PAT0041,Michelle,Horton,55060317280084,1955-06-03,Type 2 Diabetes (unstable),medium,Admitted,General Ward,2026-03-23,2026-03-28
PAT0100,Richard,Bailey,35101313980186,1935-10-13,Pneumonia,high,Admitted,Cardiac Ward,2026-01-29,2026-02-03
PAT0072,Holly,Mcdowell,20021470021084,2020-02-14,Type 2 Diabetes (unstable),medium,Admitted,General Ward,2026-02-27,2026-03-02
PAT0044,Melissa,Shaffer,08051036050089,2008-05-10,Common Cold,low,Not Admitted,N/A,2026-06-13,
PAT0023,Christopher,Cole,82102482801083,1982-10-24,Mild Gastroenteritis,low,Not Admitted,N/A,2026-07-15,
PAT0012,John,Andrews,80070445710185,1980-07-04,Acute Appendicitis,high,Admitted,Emergency Ward,2026-07-13,2026-07-21
PAT0032,Bryan,Jones,50061268571088,1950-06-12,COVID-19 (severe),high,Admitted,Cardiac Ward,2026-02-05,2026-02-17
PAT0025,Michael,Henson,21080743950085,2021-08-07,Common Cold,low,Admitted,Outpatients,2026-02-03,2026-02-08
PAT0071,Shaun,Ferguson,76011122030180,1976-01-11,Kidney Stones,medium,Admitted,Observation,2026-07-28,2026-08-02
PAT0018,Thomas,Beck,36051861211188,1936-05-18,Kidney Stones,medium,Not Admitted,N/A,2026-06-05,
PAT0055,David,Hernandez,16072929210181,2016-07-29,Acute Appendicitis,high,Admitted,ICU,2026-06-28,2026-07-04
PAT0058,Tara,Santos,80082106880184,1980-08-21,Seasonal Flu,low,Not Admitted,N/A,2026-07-26,
PAT0098,Phillip,Hunter,95121395391081,1995-12-13,Seasonal Flu,low,Not Admitted,N/A,2026-08-06,
PAT0043,Mark,Walker,07091687531188,2007-09-16,Sprained Ankle,low,Not Admitted,N/A,2026-08-06,
